state-code,percent-one,percent-two,percent-three
01,6358112,6183190,2096220
02,5621897,1242705,347286
03,14708114,13035224,7829913
04,475530,579920,321979
05,8328536,1757756,187822
06,19724101,5627361,1170571
07,9970727,6817214,1358233
08,61075251,7473186,1006751
09,176938732,22873609,2585664
10,87337667,16761785,1682572
11,221578,388999,181402
12,497782,885945,418551
13,748779,1229723,537481
14,1467174,1388620,616818
15,787503,309703,52966
16,2405316,1268601,198577
17,2144569,822320,274931
18,16744985,14460591,4352497
19,76250267,15025848,2881005
20,22987414,10000720,1593039
21,28149194,13825024,5525278
22,22160975,3384223,422569
23,62818127,9808682,1257953
24,34547351,25892341,8570571
25,126618,116629,34602
26,144726,198983,71516
27,54954472,57419861,19724729
28,62997443,21583334,6344376
29,36842703,24252594,7832129
30,332393,1126152,741249
31,45920,18553,9981
32,25242674,8163387,3188813
33,51730760,20416270,2447163
34,855661,392292,71665
35,123156,257425,72708
